ram_gb,price_thousand,target
4,21.1,1
7,27.6,0
14,73.0,1
4,8.0,0
5,25.1,1
9,34.1,1
7,30.4,0
14,63.2,1
14,58.4,1
11,53.7,1
15,65.2,1
6,24.8,0
5,25.5,1
9,54.3,1
8,40.2,1
11,60.6,1
6,36.4,1
4,21.3,1
10,59.8,1
13,54.1,1
12,64.3,1
12,58.2,1
11,58.4,1
4,29.3,1
5,26.3,1
12,45.1,1
4,21.9,1
11,42.5,1
5,26.8,1
4,28.6,1
16,71.2,1
8,36.9,0
9,48.2,1
8,43.2,1
7,32.6,0
7,34.8,1
10,45.1,1
8,39.6,1
2,13.8,1
12,44.2,1
4,25.5,1
5,36.7,1
3,22.7,1
4,23.2,1
2,15.6,1
13,64.5,1
5,32.9,1
13,63.0,1
7,33.8,1
4,13.6,0
16,70.6,1
11,49.4,1
4,16.9,0
15,71.1,1
15,47.2,1
8,37.9,1
5,34.8,1
9,46.6,1
8,32.8,0
2,8.0,0
14,66.8,1
9,48.5,1
4,28.3,1
13,62.2,1
14,61.1,1
15,61.0,1
2,12.2,0
14,58.9,1
13,63.9,1
4,9.2,0
11,53.6,1
11,45.0,1
14,56.2,1
13,62.9,1
16,81.5,1
9,56.1,1
5,37.7,1
11,45.2,1
14,62.6,1
10,40.4,1
16,63.7,1
15,60.9,1
9,37.6,1
7,40.9,1
16,72.3,1
9,51.3,1
16,83.9,1
15,81.7,1
16,74.3,1
2,13.8,1
16,72.6,1
15,76.2,1
4,28.4,1
8,38.6,1
12,60.6,1
10,51.7,1
7,36.5,1
13,61.3,1
16,70.2,1
12,64.6,1
9,37.5,1
2,8.1,0
4,31.0,1
12,61.6,1
12,63.9,1
13,58.1,1
16,72.0,1
8,35.3,0
7,33.3,1
13,64.0,1
15,70.7,1
11,50.2,1
11,43.0,1
2,11.4,0
3,15.4,0
14,59.6,1
9,32.1,1
7,38.5,1
10,40.9,1
10,49.4,1
9,32.8,1
4,22.4,1
13,73.5,1
13,68.3,1
8,37.5,1
14,57.3,1
2,11.5,0
11,50.8,1
14,70.4,1
2,8.0,0
11,53.7,1
11,38.9,1
10,60.6,1
11,66.7,1
15,59.4,1
2,12.2,0
8,36.0,0
6,15.8,0
11,68.9,1
8,54.2,1
3,16.9,0
8,32.0,0
15,70.9,1
9,49.2,1
16,71.8,1
10,61.0,1
2,12.9,0
11,62.2,1
4,29.3,1
3,22.4,1
9,42.7,1
9,47.7,1
10,60.5,1
12,50.7,1
8,42.7,1
13,68.4,1
3,14.8,0
10,50.6,1
15,62.2,1
14,66.6,1
14,73.2,1
9,42.8,1
14,57.7,1
9,42.2,1
12,58.3,1
15,75.2,1
6,22.9,0
13,52.0,1
5,27.1,1
11,43.2,1
15,80.3,1
3,31.3,1
6,33.7,1
13,60.8,1
7,30.8,0
15,68.9,1
11,53.1,1
10,55.0,1
9,49.6,1
3,8.0,0
6,24.7,0
